source	stage	object_path	provenance_class	object_sha256	compiler_binary_path	compiler_binary_sha256	fnv1a64
src/holyc-lib/threads.HC	stage2	build/lexer07-corpus-4stage/s2/22_threads.o	stage2	38030efad11fc811f247e43453c64de680431ee22cc4cba74b0017068652c909	./build/hcc-bootstrap03	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	15fdd4834153c71f
src/holyc-lib/threads.HC	stage3	build/lexer07-corpus-4stage/s3/22_threads.o	stage3	38030efad11fc811f247e43453c64de680431ee22cc4cba74b0017068652c909	./build/hcc-bootstrap04	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	15fdd4834153c71f
src/holyc-lib/tooling.HC	stage0	build/b02-corpus-A/22_tooling.o	stage0-historical	e59bd907b862ee807705152abc262a7819fbc9768e5344e15adb23db2a126960	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	55d8cb2ee74cb932
src/holyc-lib/tooling.HC	stage1	build/lexer07-corpus-4stage/s1/23_tooling.o	stage1	e59bd907b862ee807705152abc262a7819fbc9768e5344e15adb23db2a126960	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	55d8cb2ee74cb932
src/holyc-lib/tooling.HC	stage2	build/lexer07-corpus-4stage/s2/23_tooling.o	stage2	e59bd907b862ee807705152abc262a7819fbc9768e5344e15adb23db2a126960	./build/hcc-bootstrap03	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	55d8cb2ee74cb932
src/holyc-lib/tooling.HC	stage3	build/lexer07-corpus-4stage/s3/23_tooling.o	stage3	e59bd907b862ee807705152abc262a7819fbc9768e5344e15adb23db2a126960	./build/hcc-bootstrap04	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	55d8cb2ee74cb932
src/holyc-lib/vector.HC	stage0	build/lexer07-corpus-4stage/s0/24_vector.o	stage0-current	1dde83ed78a594ef11394cce2480b58c8e68524f2e0c65fb5756823635486b5b	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	ed0e3b48d7361d20
src/holyc-lib/vector.HC	stage1	build/lexer07-corpus-4stage/s1/24_vector.o	stage1	1dde83ed78a594ef11394cce2480b58c8e68524f2e0c65fb5756823635486b5b	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	ed0e3b48d7361d20
src/holyc-lib/vector.HC	stage2	build/lexer07-corpus-4stage/s2/24_vector.o	stage2	1dde83ed78a594ef11394cce2480b58c8e68524f2e0c65fb5756823635486b5b	./build/hcc-bootstrap03	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	ed0e3b48d7361d20
src/holyc-lib/vector.HC	stage3	build/lexer07-corpus-4stage/s3/24_vector.o	stage3	1dde83ed78a594ef11394cce2480b58c8e68524f2e0c65fb5756823635486b5b	./build/hcc-bootstrap04	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	ed0e3b48d7361d20
src/tests/01_pointer_simple.HC	stage0	build/lexer07-corpus-4stage/s0/25_01_pointer_simple.o	stage0-current	5286862c71a487a56034f0bb1ba89deea3af2b43320c6c44ef3dd5338648667f	./build/hcc	86b6756cdfd39cc92c9a8cd031821fdbe1d9ce42274791fd402934f903092499	b5d8eb48b2d649dd
src/tests/01_pointer_simple.HC	stage1	build/lexer07-corpus-4stage/s1/25_01_pointer_simple.o	stage1	5286862c71a487a56034f0bb1ba89deea3af2b43320c6c44ef3dd5338648667f	./build/hcc-bootstrap02	9916a3786fdadcad3962f754120c396f36a0f9d44b50291f3bbeb4dd961da2c6	b5d8eb48b2d649dd
src/tests/01_pointer_simple.HC	stage2	build/lexer07-corpus-4stage/s2/25_01_pointer_simple.o	stage2	5286862c71a487a56034f0bb1ba89deea3af2b43320c6c44ef3dd5338648667f	./build/hcc-bootstrap03	9c1166868fae2573328af1f5c86373577a4a4b9b7464872aa2e209e3fe3c84f4	b5d8eb48b2d649dd
src/tests/01_pointer_simple.HC	stage3	build/lexer07-corpus-4stage/s3/25_01_pointer_simple.o	stage3	5286862c71a487a56034f0bb1ba89deea3af2b43320c6c44ef3dd5338648667f	./build/hcc-bootstrap04	2aec4181f1d40a8239828a1b7a00da3782114cf6efffe6c618f471687b40b7c7	b5d8eb48b2d649dd
